Highest Card,Combinations
4,A 2 3 4
5,"A 2 3 5, A 2 4 5, A 3 4 5, 2 3 4 5"
6,"A 2 3 6, A 2 4 6, A 3 4 6, 2 3 4 6, A 2 5 6, A 3 5 6, 2 3 5 6, A 4 5 6, 2 4 5 6, 3 4 5 6"
7,"A 2 3 7, A 2 4 7, A 3 4 7, 2 3 4 7, A 2 5 7, A 3 5 7, 2 3 5 7, A 4 5 7, 2 4 5 7, 3 4 5 7, A 2 6 7, A 3 6 7, 2 3 6 7, A 4 6 7, 2 4 6 7, 3 4 6 7, A 5 6 7, 2 5 6 7, 3 5 6 7, 4 5 6 7"
8,"A 2 3 8, A 2 4 8, A 3 4 8, 2 3 4 8, A 2 5 8, A 3 5 8, 2 3 5 8, A 4 5 8, 2 4 5 8, 3 4 5 8, A 2 6 8, A 3 6 8, 2 3 6 8, A 4 6 8, 2 4 6 8, 3 4 6 8, A 5 6 8, 2 5 6 8, 3 5 6 8, 4 5 6 8, A 2 7 8, A 3 7 8, 2 3 7 8, A 4 7 8, 2 4 7 8, 3 4 7 8, A 5 7 8, 2 5 7 8, 3 5 7 8, 4 5 7 8, A 6 7 8, 2 6 7 8, 3 6 7 8, 4 6 7 8, 5 6 7 8"
9,"A 2 3 9, A 2 4 9, A 3 4 9, 2 3 4 9, A 2 5 9, A 3 5 9, 2 3 5 9, A 4 5 9, 2 4 5 9, 3 4 5 9, A 2 6 9, A 3 6 9, 2 3 6 9, A 4 6 9, 2 4 6 9, 3 4 6 9, A 5 6 9, 2 5 6 9, 3 5 6 9, 4 5 6 9, A 2 7 9, A 3 7 9, 2 3 7 9, A 4 7 9, 2 4 7 9, 3 4 7 9, A 5 7 9, 2 5 7 9, 3 5 7 9, 4 5 7 9, A 6 7 9, 2 6 7 9, 3 6 7 9, 4 6 7 9, 5 6 7 9, A 2 8 9, A 3 8 9, 2 3 8 9, A 4 8 9, 2 4 8 9, 3 4 8 9, A 5 8 9, 2 5 8 9, 3 5 8 9, 4 5 8 9, A 6 8 9, 2 6 8 9, 3 6 8 9, 4 6 8 9, 5 6 8 9, A 7 8 9, 2 7 8 9, 3 7 8 9, 4 7 8 9, 5 7 8 9, 6 7 8 9"
10,"A 2 3 10, A 2 4 10, A 3 4 10, 2 3 4 10, A 2 5 10, A 3 5 10, 2 3 5 10, A 4 5 10, 2 4 5 10, 3 4 5 10, A 2 6 10, A 3 6 10, 2 3 6 10, A 4 6 10, 2 4 6 10, 3 4 6 10, A 5 6 10, 2 5 6 10, 3 5 6 10, 4 5 6 10, A 2 7 10, A 3 7 10, 2 3 7 10, A 4 7 10, 2 4 7 10, 3 4 7 10, A 5 7 10, 2 5 7 10, 3 5 7 10, 4 5 7 10, A 6 7 10, 2 6 7 10, 3 6 7 10, 4 6 7 10, 5 6 7 10, A 2 8 10, A 3 8 10, 2 3 8 10, A 4 8 10, 2 4 8 10, 3 4 8 10, A 5 8 10, 2 5 8 10, 3 5 8 10, 4 5 8 10, A 6 8 10, 2 6 8 10, 3 6 8 10, 4 6 8 10, 5 6 8 10, A 7 8 10, 2 7 8 10, 3 7 8 10, 4 7 8 10, 5 7 8 10, 6 7 8 10, A 2 9 10, A 3 9 10, 2 3 9 10, A 4 9 10, 2 4 9 10, 3 4 9 10, A 5 9 10, 2 5 9 10, 3 5 9 10, 4 5 9 10, A 6 9 10, 2 6 9 10, 3 6 9 10, 4 6 9 10, 5 6 9 10, A 7 9 10, 2 7 9 10, 3 7 9 10, 4 7 9 10, 5 7 9 10, 6 7 9 10, A 8 9 10, 2 8 9 10, 3 8 9 10, 4 8 9 10, 5 8 9 10, 6 8 9 10, 7 8 9 10"
11,"A 2 3 J, A 2 4 J, A 3 4 J, 2 3 4 J, A 2 5 J, A 3 5 J, 2 3 5 J, A 4 5 J, 2 4 5 J, 3 4 5 J, A 2 6 J, A 3 6 J, 2 3 6 J, A 4 6 J, 2 4 6 J, 3 4 6 J, A 5 6 J, 2 5 6 J, 3 5 6 J, 4 5 6 J, A 2 7 J, A 3 7 J, 2 3 7 J, A 4 7 J, 2 4 7 J, 3 4 7 J, A 5 7 J, 2 5 7 J, 3 5 7 J, 4 5 7 J, A 6 7 J, 2 6 7 J, 3 6 7 J, 4 6 7 J, 5 6 7 J, A 2 8 J, A 3 8 J, 2 3 8 J, A 4 8 J, 2 4 8 J, 3 4 8 J, A 5 8 J, 2 5 8 J, 3 5 8 J, 4 5 8 J, A 6 8 J, 2 6 8 J, 3 6 8 J, 4 6 8 J, 5 6 8 J, A 7 8 J, 2 7 8 J, 3 7 8 J, 4 7 8 J, 5 7 8 J, 6 7 8 J, A 2 9 J, A 3 9 J, 2 3 9 J, A 4 9 J, 2 4 9 J, 3 4 9 J, A 5 9 J, 2 5 9 J, 3 5 9 J, 4 5 9 J, A 6 9 J, 2 6 9 J, 3 6 9 J, 4 6 9 J, 5 6 9 J, A 7 9 J, 2 7 9 J, 3 7 9 J, 4 7 9 J, 5 7 9 J, 6 7 9 J, A 8 9 J, 2 8 9 J, 3 8 9 J, 4 8 9 J, 5 8 9 J, 6 8 9 J, 7 8 9 J, A 2 10 J, A 3 10 J, 2 3 10 J, A 4 10 J, 2 4 10 J, 3 4 10 J, A 5 10 J, 2 5 10 J, 3 5 10 J, 4 5 10 J, A 6 10 J, 2 6 10 J, 3 6 10 J, 4 6 10 J, 5 6 10 J, A 7 10 J, 2 7 10 J, 3 7 10 J, 4 7 10 J, 5 7 10 J, 6 7 10 J, A 8 10 J, 2 8 10 J, 3 8 10 J, 4 8 10 J, 5 8 10 J, 6 8 10 J, 7 8 10 J, A 9 10 J, 2 9 10 J, 3 9 10 J, 4 9 10 J, 5 9 10 J, 6 9 10 J, 7 9 10 J, 8 9 10 J"
12,"A 2 3 Q, A 2 4 Q, A 3 4 Q, 2 3 4 Q, A 2 5 Q, A 3 5 Q, 2 3 5 Q, A 4 5 Q, 2 4 5 Q, 3 4 5 Q, A 2 6 Q, A 3 6 Q, 2 3 6 Q, A 4 6 Q, 2 4 6 Q, 3 4 6 Q, A 5 6 Q, 2 5 6 Q, 3 5 6 Q, 4 5 6 Q, A 2 7 Q, A 3 7 Q, 2 3 7 Q, A 4 7 Q, 2 4 7 Q, 3 4 7 Q, A 5 7 Q, 2 5 7 Q, 3 5 7 Q, 4 5 7 Q, A 6 7 Q, 2 6 7 Q, 3 6 7 Q, 4 6 7 Q, 5 6 7 Q, A 2 8 Q, A 3 8 Q, 2 3 8 Q, A 4 8 Q, 2 4 8 Q, 3 4 8 Q, A 5 8 Q, 2 5 8 Q, 3 5 8 Q, 4 5 8 Q, A 6 8 Q, 2 6 8 Q, 3 6 8 Q, 4 6 8 Q, 5 6 8 Q, A 7 8 Q, 2 7 8 Q, 3 7 8 Q, 4 7 8 Q, 5 7 8 Q, 6 7 8 Q, A 2 9 Q, A 3 9 Q, 2 3 9 Q, A 4 9 Q, 2 4 9 Q, 3 4 9 Q, A 5 9 Q, 2 5 9 Q, 3 5 9 Q, 4 5 9 Q"
13,"A 2 3 K, A 2 4 K, A 3 4 K, 2 3 4 K, A 2 5 K, A 3 5 K, 2 3 5 K, A 4 5 K, 2 4 5 K, 3 4 5 K, A 2 6 K, A 3 6 K, 2 3 6 K, A 4 6 K, 2 4 6 K, 3 4 6 K, A 5 6 K, 2 5 6 K, 3 5 6 K, 4 5 6 K, A 2 7 K, A 3 7 K, 2 3 7 K, A 4 7 K, 2 4 7 K, 3 4 7 K, A 5 7 K, 2 5 7 K, 3 5 7 K, 4 5 7 K, A 6 7 K, 2 6 7 K, 3 6 7 K, 4 6 7 K, 5 6 7 K, A 2 8 K, A 3 8 K, 2 3 8 K, A 4 8 K, 2 4 8 K, 3 4 8 K, A 5 8 K, 2 5 8 K, 3 5 8 K, 4 5 8 K, A 6 8 K, 2 6 8 K, 3 6 8 K, 4 6 8 K, 5 6 8 K, A 7 8 K, 2 7 8 K, 3 7 8 K, 4 7 8 K, 5 7 8 K, 6 7 8 K"
